Product Name,Slug,Image Link (Paste URL here)
NMN-Duo Release,nmn-duo-release,https://shop.bfsuma.com/ke/nmn-duo-release-p0178.html
NMN Coffee,nmn-coffee,https://shop.bfsuma.com/ke/nmn-coffee-new-p0195.html
NMN-Sharp Mind,nmn-sharp-mind,https://shop.bfsuma.com/ke/nmn-sharp-mind-p0180.html
Ntdiarr Pills 50's,ntdiarr-pills-50-s,https://shop.bfsuma.com/ke/ntdiarr-pills-p0232.html
FemiBiotics,femibiotics,https://shop.bfsuma.com/ke/femibiotics-p0227.html
Detoxilive pro oil capsules,detoxilive-pro-oil-capsules,https://shop.bfsuma.com/ke/femicalcium-d3-p0231.html
Femicalcium D3,femicalcium-d3,https://shop.bfsuma.com/ke/bf-suma-pure-amp-broken-ganoderma-spores-p0230.html
BF Suma Pure & Broken Ganoderma Spores,bf-suma-pure-broken-ganoderma-spores,https://shop.bfsuma.com/ke/pure-amp-broken-ganoderma-spores-p0040.html
Ez-xlim,ez-xlim,https://shop.bfsuma.com/ke/ez-xlim-p0047.html
Pure &Broken Ganoderma Spores 60‘s,pure-broken-ganoderma-spores-60-s,https://shop.bfsuma.com/ke/pure-ampbroken-ganoderma-spores-60s-p0207.html
Feminergy Capsules,feminergy-capsules,https://shop.bfsuma.com/ke/feminergy-capsules-p0046.html
VEGGIE VEGGIE,veggie-veggie,https://shop.bfsuma.com/ke/veggie-veggie-p0221.html
X Power Coffee,x-power-coffee,https://shop.bfsuma.com/ke/x-power-coffee-p0027.html
Pure & Broken Ganoderma Spores,pure-broken-ganoderma-spores,https://shop.bfsuma.com/ke/pure-amp-broken-ganoderma-spores-p0233.html
FemiCare (FEMININE CLEANSER),femicare-feminine-cleanser,https://shop.bfsuma.com/ke/femicare-feminine-cleanser-p0229.html
Elements,elements,https://shop.bfsuma.com/ke/elements-p0228.html
Probio3 (Straweberry Flavor) 30's,probio3-straweberry-flavor-30-s,https://shop.bfsuma.com/ke/probio3straweberry-flavor20s-p0226.html
GluzoJoint-Ultra Pro,gluzojoint-ultra-pro,https://shop.bfsuma.com/ke/blueberry-chewable-tablets-for-sharp-vision-p0224.html
Blueberry Chewable Tablets for Sharp Vision,blueberry-chewable-tablets-for-sharp-vision,https://shop.bfsuma.com/ke/calcium-amp-vitamin-d3-milk-tablets-strawberry-flavour-p0222.html
Refined Yunzhi Essence,refined-yunzhi-essence,https://shop.bfsuma.com/ke/refined-yunzhi-essence-p0210.html
Vitamin C Chewable Tablets,vitamin-c-chewable-tablets,https://shop.bfsuma.com/ke/vitamin-c-chewable-tablets-p0219.html
ZaminoCal Plus,zaminocal-plus,https://shop.bfsuma.com/ke/zaminocal-plus-capsules-p0021.html
Micro2 Cycle Tablets,micro2-cycle-tablets,https://shop.bfsuma.com/ke/micro2tm-cycle-tablets-p0197.html
ConstiRelax,constirelax,https://shop.bfsuma.com/ke/constirelaxtm-oral-solution-p0024.html
ProstatRelax,prostatrelax,https://shop.bfsuma.com/ke/prostatrelax-capsules-p0041.html
Anatic Herbal Essence Soap,anatic-herbal-essence-soap,https://shop.bfsuma.com/ke/anatictm-herbal-essence-soap-p0020.html
Dr. Cow Smart Kids Calcium,dr-cow-smart-kids-calcium,https://shop.bfsuma.com/ke/vitamin-c-chewable-tablets-p0220.html
4 in 1 Reishi Coffee,4-in-1-reishi-coffee,https://shop.bfsuma.com/ke/4-in-1-reishi-coffee-p0204.html
4 in 1 Ginseng Coffee,4-in-1-ginseng-coffee,https://shop.bfsuma.com/ke/4-in-1-ginseng-coffee-p0205.html
Relivin Tea,relivin-tea,https://shop.bfsuma.com/ke/reliving-tea-p0206.html
GymEffect,gymeffect,https://shop.bfsuma.com/ke/gymeffect-p0185.html
YouthEssence Cleanser,youthessence-cleanser,https://shop.bfsuma.com/ke/youth-refreshing-facial-cleanser-p0213.html
YouthEssence Lotion,youthessence-lotion,https://shop.bfsuma.com/ke/youthessencelotion-p0214.html
